persona,age,employment_status,monthly_income,monthly_expenses,monthly_savings,emergency_fund,total_debt,investments,insurance_cover,financial_goal,savings_rate,expense_ratio,disposable_income,debt_to_income_ratio,emergency_fund_months,investment_ratio,insurance_ratio,net_monthly_cashflow,financial_health_score
Disciplined Saver,40,Salaried,37540.0,20272.0,16893.0,311582.0,17703.0,252269.0,7978001.0,Wealth Creation,0.45,0.54,17268.0,0.04,15.37,0.56,17.71,375.0,81.46
Mid Career,31,Salaried,82168.0,46014.0,26294.0,409197.0,1650110.0,759232.0,15283248.0,Children Education,0.32,0.56,36154.0,1.67,8.89,0.77,15.5,9860.0,59.57
Disciplined Saver,25,Salaried,32969.0,11869.0,13847.0,363978.0,8858.0,367934.0,5934420.0,Wealth Creation,0.42,0.36,21100.0,0.02,30.67,0.93,15.0,7253.0,84.34
Young Salaried,22,Salaried,42101.0,26524.0,14314.0,158721.0,275247.0,80834.0,4653003.0,Buy a Car,0.34,0.63,15577.0,0.54,5.98,0.16,9.21,1263.0,58.74
Mid Career,34,Salaried,74753.0,32891.0,19436.0,435062.0,1556560.0,376755.0,16532373.0,Buy a House,0.26,0.44,41862.0,1.74,13.23,0.42,18.43,22426.0,60.69
Young Salaried,29,Salaried,39789.0,24669.0,7560.0,156769.0,49196.0,81170.0,5261697.0,Wealth Creation,0.19,0.62,15120.0,0.1,6.35,0.17,11.02,7560.0,56.98
Disciplined Saver,25,Salaried,50612.0,23788.0,19233.0,452977.0,16394.0,832061.0,9936148.0,Wealth Creation,0.38,0.47,26824.0,0.03,19.04,1.37,16.36,7591.0,84.02
Mid Career,45,Salaried,128816.0,52815.0,50238.0,1024087.0,1976442.0,1283007.0,22135741.0,Buy a House,0.39,0.41,76001.0,1.28,19.39,0.83,14.32,25763.0,72.44
Disciplined Saver,35,Salaried,55199.0,24288.0,25944.0,557510.0,70263.0,755122.0,8836256.0,Wealth Creation,0.47,0.44,30911.0,0.11,22.95,1.14,13.34,4967.0,82.2
Student,20,Student,446.0,397.0,18.0,308.0,25388.0,54.0,14611.0,Emergency Fund,0.04,0.89,49.0,4.74,0.78,0.01,2.73,31.0,8.81
Business Owner,60,Business,675341.0,472739.0,195849.0,4119580.0,1620245.0,20341271.0,112484797.0,Business,0.29,0.7,202602.0,0.2,8.71,2.51,13.88,6753.0,72.92
Young Salaried,29,Salaried,75307.0,50456.0,15814.0,172453.0,31325.0,298216.0,9271798.0,Buy a Car,0.21,0.67,24851.0,0.03,3.42,0.33,10.26,9037.0,53.22
Mid Career,40,Salaried,106146.0,48827.0,25475.0,443690.0,1597998.0,1159114.0,23169549.0,Buy a House,0.24,0.46,57319.0,1.25,9.09,0.91,18.19,31844.0,60.24
Young Salaried,23,Salaried,72156.0,33913.0,13710.0,246052.0,35431.0,86587.0,7853459.0,Wealth Creation,0.19,0.47,38243.0,0.04,7.26,0.1,9.07,24533.0,58.2
Young Salaried,26,Salaried,39909.0,17959.0,10775.0,191164.0,86860.0,119727.0,6086921.0,Buy a Car,0.27,0.45,21950.0,0.18,10.64,0.25,12.71,11175.0,69.88
Young Salaried,26,Salaried,78104.0,54673.0,14059.0,323351.0,166736.0,234312.0,8744524.0,Wealth Creation,0.18,0.7,23431.0,0.18,5.91,0.25,9.33,9372.0,53.57
Retired,80,Retired,38171.0,27101.0,4199.0,278267.0,29455.0,636692.0,6279893.0,Retirement,0.11,0.71,11070.0,0.06,10.27,1.39,13.71,6871.0,64.91
Student,18,Student,17799.0,12815.0,2314.0,14951.0,2477.0,8544.0,751830.0,Higher Education,0.13,0.72,4984.0,0.01,1.17,0.04,3.52,2670.0,40.14
Disciplined Saver,31,Salaried,30116.0,9938.0,11143.0,315315.0,22375.0,191538.0,6353271.0,Wealth Creation,0.37,0.33,20178.0,0.06,31.73,0.53,17.58,9035.0,81.45
High Income High Debt,34,Salaried,942148.0,810247.0,84793.0,3674377.0,3602901.0,9044621.0,137591294.0,Debt Reduction,0.09,0.86,131901.0,0.32,4.53,0.8,12.17,47108.0,47.81
Business Owner,50,Business,444016.0,270850.0,128765.0,1975871.0,6464496.0,6766804.0,69799315.0,Wealth Creation,0.29,0.61,173166.0,1.21,7.3,1.27,13.1,44401.0,59.03
Young Salaried,22,Salaried,77545.0,44976.0,13958.0,389276.0,289597.0,139581.0,12906590.0,Buy a Car,0.18,0.58,32569.0,0.31,8.66,0.15,13.87,18611.0,60.65
Disciplined Saver,30,Salaried,42253.0,14366.0,16901.0,327038.0,89325.0,628725.0,6424146.0,Wealth Creation,0.4,0.34,27887.0,0.18,22.76,1.24,12.67,10986.0,82.64
Financially Stressed,37,Business,44438.0,44882.0,1778.0,31995.0,143387.0,21330.0,3231531.0,Emergency Fund,0.04,1.01,-444.0,0.27,0.71,0.04,6.06,-2222.0,30.59
Student,22,Student,2385.0,2170.0,72.0,2194.0,83436.0,1145.0,142528.0,Emergency Fund,0.03,0.91,215.0,2.92,1.01,0.04,4.98,143.0,10.99
Business Owner,28,Business,286554.0,194857.0,42983.0,2154886.0,9011584.0,7668185.0,45596472.0,Business,0.15,0.68,91697.0,2.62,11.06,2.23,13.26,48714.0,49.16
Young Salaried,27,Salaried,69884.0,29351.0,17471.0,368988.0,207931.0,285127.0,11036081.0,Wealth Creation,0.25,0.42,40533.0,0.25,12.57,0.34,13.16,23062.0,71.18
Disciplined Saver,41,Salaried,36711.0,11013.0,15052.0,258078.0,46388.0,625555.0,6396525.0,Wealth Creation,0.41,0.3,25698.0,0.11,23.43,1.42,14.52,10646.0,85.09
Mid Career,36,Salaried,175353.0,91184.0,43838.0,1285337.0,1988020.0,946906.0,34341132.0,Children Education,0.25,0.52,84169.0,0.94,14.1,0.45,16.32,40331.0,66.54
Mid Career,44,Salaried,79139.0,37195.0,18202.0,413897.0,1626310.0,949668.0,12592598.0,Buy a House,0.23,0.47,41944.0,1.71,11.13,1.0,13.26,23742.0,58.35
Mid Career,41,Salaried,78144.0,28132.0,27350.0,496996.0,1999648.0,337582.0,18060641.0,Buy a House,0.35,0.36,50012.0,2.13,17.67,0.36,19.26,22662.0,62.47
Young Salaried,28,Salaried,71509.0,45766.0,22168.0,224538.0,108746.0,291757.0,8272161.0,Wealth Creation,0.31,0.64,25743.0,0.13,4.91,0.34,9.64,3575.0,59.62
Disciplined Saver,44,Freelancer,30558.0,13751.0,13751.0,240186.0,64598.0,319026.0,5225418.0,Wealth Creation,0.45,0.45,16807.0,0.18,17.47,0.87,14.25,3056.0,81.52
Mid Career,45,Salaried,188848.0,113309.0,47212.0,796939.0,2824618.0,951794.0,40133977.0,Buy a House,0.25,0.6,75539.0,1.25,7.03,0.42,17.71,28327.0,55.06
Young Salaried,22,Salaried,58932.0,23573.0,11197.0,137312.0,233741.0,226299.0,6463662.0,Wealth Creation,0.19,0.4,35359.0,0.33,5.82,0.32,9.14,24162.0,54.3
Retired,59,Retired,130304.0,67758.0,18243.0,1421617.0,331338.0,1563648.0,22391439.0,Retirement,0.14,0.52,62546.0,0.21,20.98,1.0,14.32,44303.0,68.09
Young Salaried,25,Salaried,61077.0,36646.0,15269.0,300499.0,73978.0,168573.0,7974213.0,Wealth Creation,0.25,0.6,24431.0,0.1,8.2,0.23,10.88,9162.0,63.28
Young Salaried,29,Salaried,61731.0,32717.0,9877.0,316680.0,177604.0,170378.0,5940991.0,Buy a Car,0.16,0.53,29014.0,0.24,9.68,0.23,8.02,19137.0,58.47
Student,23,Student,14700.0,10437.0,441.0,14700.0,50172.0,5292.0,652680.0,Higher Education,0.03,0.71,4263.0,0.28,1.41,0.03,3.7,3822.0,33.93
High Income High Debt,44,Salaried,301350.0,210945.0,51230.0,910077.0,14509110.0,2205882.0,45527958.0,Debt Reduction,0.17,0.7,90405.0,4.01,4.31,0.61,12.59,39175.0,30.2
Financially Stressed,25,Freelancer,39591.0,40779.0,1188.0,16232.0,329901.0,14253.0,3781732.0,Emergency Fund,0.03,1.03,-1188.0,0.69,0.4,0.03,7.96,-2376.0,27.19
High Income High Debt,37,Salaried,565616.0,446837.0,84842.0,1634630.0,12867791.0,4411805.0,100521276.0,Debt Reduction,0.15,0.79,118779.0,1.9,3.66,0.65,14.81,33937.0,37.89
Mid Career,39,Salaried,196359.0,90325.0,64798.0,1323460.0,2589868.0,471262.0,32681992.0,Buy a House,0.33,0.46,106034.0,1.1,14.65,0.2,13.87,41236.0,68.25
Young Salaried,24,Salaried,71416.0,43564.0,12855.0,424211.0,99838.0,248528.0,12289265.0,Wealth Creation,0.18,0.61,27852.0,0.12,9.74,0.29,14.34,14997.0,64.61
Young Salaried,27,Salaried,64049.0,28822.0,12169.0,190866.0,116931.0,169089.0,9292229.0,Buy a Car,0.19,0.45,35227.0,0.15,6.62,0.22,12.09,23058.0,58.65
Young Salaried,29,Salaried,47387.0,26537.0,11847.0,184809.0,217279.0,56864.0,7005694.0,Wealth Creation,0.25,0.56,20850.0,0.38,6.96,0.1,12.32,9003.0,59.73
Student,24,Student,3557.0,3272.0,36.0,2383.0,75485.0,0.0,126345.0,Emergency Fund,0.01,0.92,285.0,1.77,0.73,0.0,2.96,249.0,18.43
Disciplined Saver,48,Salaried,58156.0,17447.0,24426.0,484439.0,41658.0,279149.0,12470973.0,Wealth Creation,0.42,0.3,40709.0,0.06,27.77,0.4,17.87,16283.0,82.7
Young Salaried,24,Salaried,77201.0,50181.0,16984.0,261711.0,273003.0,250131.0,13673841.0,Buy a Car,0.22,0.65,27020.0,0.29,5.22,0.27,14.76,10036.0,57.54
Mid Career,45,Salaried,166775.0,80052.0,36690.0,840546.0,2781949.0,1761144.0,30459786.0,Children Education,0.22,0.48,86723.0,1.39,10.5,0.88,15.22,50033.0,60.19
Freelancer,42,Freelancer,136993.0,87676.0,24659.0,1012378.0,135540.0,312344.0,24050491.0,Wealth Creation,0.18,0.64,49317.0,0.08,11.55,0.19,14.63,24658.0,67.66
Young Salaried,29,Salaried,37629.0,20320.0,9407.0,183630.0,227329.0,167073.0,6172661.0,Wealth Creation,0.25,0.54,17309.0,0.5,9.04,0.37,13.67,7902.0,64.03
Young Salaried,28,Salaried,41338.0,28110.0,12401.0,200903.0,41255.0,173620.0,7361471.0,Wealth Creation,0.3,0.68,13228.0,0.08,7.15,0.35,14.84,827.0,66.26
High Income High Debt,31,Salaried,428984.0,321738.0,21449.0,1501444.0,8540179.0,1904689.0,69443930.0,Debt Reduction,0.05,0.75,107246.0,1.66,4.67,0.37,13.49,85797.0,36.18
Wealth Builder,58,Salaried,235938.0,82578.0,92016.0,2331067.0,472095.0,10305772.0,67780269.0,Wealth Creation,0.39,0.35,153360.0,0.17,28.23,3.64,23.94,61344.0,90.88
Mid Career,38,Salaried,74921.0,30718.0,17232.0,588879.0,380919.0,539431.0,12865434.0,Buy a House,0.23,0.41,44203.0,0.42,19.17,0.6,14.31,26971.0,70.27
Financially Stressed,30,Freelancer,31850.0,29939.0,318.0,318.0,217839.0,15288.0,2308488.0,Emergency Fund,0.01,0.94,1911.0,0.57,0.01,0.04,6.04,1593.0,29.21
Wealth Builder,41,Salaried,148060.0,56263.0,68108.0,1572397.0,435160.0,1901090.0,30381912.0,Wealth Creation,0.46,0.38,91797.0,0.24,27.95,1.07,17.1,23689.0,82.5
Business Owner,38,Business,904204.0,443060.0,153715.0,7170338.0,701611.0,20290338.0,175994267.0,Business,0.17,0.49,461144.0,0.06,16.18,1.87,16.22,307429.0,74.07
Student,18,Student,16122.0,12092.0,2096.0,3547.0,38266.0,7739.0,907346.0,Emergency Fund,0.13,0.75,4030.0,0.2,0.29,0.04,4.69,1934.0,37.59
Young Salaried,23,Salaried,78467.0,35310.0,16478.0,461386.0,38611.0,263649.0,12881143.0,Wealth Creation,0.21,0.45,43157.0,0.04,13.07,0.28,13.68,26679.0,70.84
Young Salaried,23,Salaried,68677.0,38459.0,13735.0,315227.0,216350.0,206031.0,10087278.0,Wealth Creation,0.2,0.56,30218.0,0.26,8.2,0.25,12.24,16483.0,60.64
Mid Career,44,Salaried,106877.0,41682.0,28857.0,475603.0,1073508.0,859291.0,18942879.0,Buy a House,0.27,0.39,65195.0,0.84,11.41,0.67,14.77,36338.0,68.54
Business Owner,41,Business,813903.0,382534.0,162781.0,4915974.0,7164018.0,7911137.0,123941149.0,Wealth Creation,0.2,0.47,431369.0,0.73,12.85,0.81,12.69,268588.0,65.42
Young Salaried,29,Salaried,63256.0,34158.0,15181.0,368150.0,119006.0,174587.0,9579489.0,Wealth Creation,0.24,0.54,29098.0,0.16,10.78,0.23,12.62,13917.0,68.13
Mid Career,38,Salaried,120848.0,47131.0,47131.0,751675.0,571862.0,478558.0,18257716.0,Children Education,0.39,0.39,73717.0,0.39,15.95,0.33,12.59,26586.0,77.31
Mid Career,30,Salaried,113434.0,52180.0,31762.0,493438.0,2631511.0,857561.0,19111360.0,Buy a House,0.28,0.46,61254.0,1.93,9.46,0.63,14.04,29492.0,55.84
Mid Career,41,Salaried,140041.0,58817.0,35010.0,1099322.0,1095888.0,1411613.0,28820438.0,Buy a House,0.25,0.42,81224.0,0.65,18.69,0.84,17.15,46214.0,70.57
Mid Career,42,Salaried,126961.0,74907.0,36819.0,553550.0,2248624.0,350412.0,26113338.0,Buy a House,0.29,0.59,52054.0,1.48,7.39,0.23,17.14,15235.0,55.26
Young Salaried,23,Salaried,70349.0,31657.0,19698.0,406617.0,219632.0,185721.0,9691278.0,Wealth Creation,0.28,0.45,38692.0,0.26,12.84,0.22,11.48,18994.0,71.1
High Income High Debt,47,Business,627319.0,457943.0,100371.0,1762766.0,8477106.0,4215584.0,76633289.0,Debt Reduction,0.16,0.73,169376.0,1.13,3.85,0.56,10.18,69005.0,42.5
Young Salaried,26,Salaried,39948.0,21971.0,7990.0,161789.0,37635.0,110256.0,4117840.0,Wealth Creation,0.2,0.55,17977.0,0.08,7.36,0.23,8.59,9987.0,58.29
Business Owner,46,Business,811643.0,486986.0,146096.0,6160370.0,8963963.0,12369439.0,127200691.0,Business,0.18,0.6,324657.0,0.92,12.65,1.27,13.06,178561.0,63.85
Mid Career,37,Salaried,184877.0,72102.0,51766.0,1405065.0,2702922.0,1109262.0,35895718.0,Buy a House,0.28,0.39,112775.0,1.22,19.49,0.5,16.18,61009.0,66.54
Young Salaried,23,Salaried,63095.0,30917.0,21452.0,372260.0,274367.0,166571.0,11182958.0,Wealth Creation,0.34,0.49,32178.0,0.36,12.04,0.22,14.77,10726.0,75.42
Student,22,Student,7527.0,4817.0,301.0,5645.0,32676.0,4516.0,429039.0,Higher Education,0.04,0.64,2710.0,0.36,1.17,0.05,4.75,2409.0,34.21
Retired,65,Retired,142954.0,98638.0,31450.0,1656837.0,433755.0,4237157.0,17566188.0,Retirement,0.22,0.69,44316.0,0.25,16.8,2.47,10.24,12866.0,72.35
Young Salaried,24,Salaried,58940.0,30059.0,11788.0,147350.0,237310.0,70728.0,6789888.0,Wealth Creation,0.2,0.51,28881.0,0.34,4.9,0.1,9.6,17093.0,52.49
Young Salaried,30,Salaried,78087.0,33577.0,21864.0,270181.0,115502.0,327965.0,11047749.0,Buy a Car,0.28,0.43,44510.0,0.12,8.05,0.35,11.79,22646.0,66.37
Young Salaried,23,Salaried,33123.0,18880.0,9274.0,178864.0,124641.0,43722.0,5711730.0,Buy a Car,0.28,0.57,14243.0,0.31,9.47,0.11,14.37,4969.0,67.35
Wealth Builder,54,Salaried,395023.0,134308.0,189611.0,4515113.0,412404.0,5783137.0,107651668.0,Wealth Creation,0.48,0.34,260715.0,0.09,33.62,1.22,22.71,71104.0,84.27
Business Owner,50,Business,686665.0,425732.0,116733.0,4895921.0,6818520.0,18210356.0,114618122.0,Business,0.17,0.62,260933.0,0.83,11.5,2.21,13.91,144200.0,66.54
Young Salaried,27,Salaried,53546.0,28379.0,16599.0,139755.0,111068.0,192766.0,8815813.0,Wealth Creation,0.31,0.53,25167.0,0.17,4.92,0.3,13.72,8568.0,62.91
Mid Career,40,Salaried,156442.0,65706.0,59448.0,1023131.0,2627992.0,1239021.0,32571224.0,Buy a House,0.38,0.42,90736.0,1.4,15.57,0.66,17.35,31288.0,70.79
High Income High Debt,32,Business,629235.0,528557.0,100678.0,1724104.0,6147690.0,4303967.0,92799578.0,Debt Reduction,0.16,0.84,100678.0,0.81,3.26,0.57,12.29,0.0,43.59
Mid Career,38,Salaried,192438.0,92370.0,73126.0,1508714.0,527079.0,1177721.0,28057460.0,Buy a House,0.38,0.48,100068.0,0.23,16.33,0.51,12.15,26942.0,77.81
Student,23,Student,10623.0,8923.0,425.0,5418.0,10838.0,3824.0,427045.0,Emergency Fund,0.04,0.84,1700.0,0.09,0.61,0.03,3.35,1275.0,33.84
Mid Career,35,Salaried,65547.0,31463.0,17042.0,341500.0,2065232.0,668579.0,9462365.0,Buy a House,0.26,0.48,34084.0,2.63,10.85,0.85,12.03,17042.0,50.49
Business Owner,37,Business,181486.0,87113.0,54446.0,1346626.0,4914455.0,5422802.0,35367992.0,Wealth Creation,0.3,0.48,94373.0,2.26,15.46,2.49,16.24,39927.0,64.5
Young Salaried,25,Salaried,39226.0,17259.0,10983.0,215743.0,74139.0,37657.0,6392269.0,Wealth Creation,0.28,0.44,21967.0,0.16,12.5,0.08,13.58,10984.0,72.96
Freelancer,38,Freelancer,197750.0,112718.0,53392.0,777158.0,211312.0,688170.0,34289850.0,Wealth Creation,0.27,0.57,85032.0,0.09,6.89,0.29,14.45,31640.0,64.97
Mid Career,41,Salaried,177332.0,86893.0,63840.0,1175711.0,1305676.0,1404469.0,42176643.0,Buy a House,0.36,0.49,90439.0,0.61,13.53,0.66,19.82,26599.0,75.87
Student,24,Student,15989.0,14870.0,1599.0,6076.0,33297.0,7675.0,755960.0,Emergency Fund,0.1,0.93,1119.0,0.17,0.41,0.04,3.94,-480.0,33.26
Student,22,Student,9585.0,7764.0,1150.0,8531.0,12642.0,1150.0,406021.0,Higher Education,0.12,0.81,1821.0,0.11,1.1,0.01,3.53,671.0,37.64
Student,18,Student,12602.0,9578.0,378.0,10334.0,74475.0,3024.0,496015.0,Higher Education,0.03,0.76,3024.0,0.49,1.08,0.02,3.28,2646.0,31.21
Mid Career,45,Salaried,124339.0,48492.0,49736.0,668944.0,1101756.0,432700.0,25201029.0,Buy a House,0.4,0.39,75847.0,0.74,13.79,0.29,16.89,26111.0,76.42
Young Salaried,23,Salaried,77013.0,42357.0,24644.0,330386.0,221643.0,295730.0,13631301.0,Wealth Creation,0.32,0.55,34656.0,0.24,7.8,0.32,14.75,10012.0,68.24
Business Owner,51,Business,967266.0,570687.0,183781.0,5610143.0,6486134.0,12883983.0,170857866.0,Wealth Creation,0.19,0.59,396579.0,0.56,9.83,1.11,14.72,212798.0,64.42
Freelancer,35,Freelancer,154593.0,120583.0,29373.0,899731.0,255448.0,760598.0,23541422.0,Wealth Creation,0.19,0.78,34010.0,0.14,7.46,0.41,12.69,4637.0,58.51
Young Salaried,30,Salaried,56972.0,28486.0,11964.0,305940.0,242338.0,164079.0,6720417.0,Buy a Car,0.21,0.5,28486.0,0.35,10.74,0.24,9.83,16522.0,63.28
Young Salaried,28,Salaried,38205.0,20631.0,7641.0,86725.0,71784.0,64184.0,6656839.0,Buy a Car,0.2,0.54,17574.0,0.16,4.2,0.14,14.52,9933.0,56.09
Disciplined Saver,47,Salaried,51439.0,19547.0,25205.0,580232.0,21586.0,765412.0,7431907.0,Wealth Creation,0.49,0.38,31892.0,0.03,29.68,1.24,12.04,6687.0,82.55
Student,20,Student,18457.0,14766.0,1477.0,17903.0,37438.0,8859.0,551495.0,Higher Education,0.08,0.8,3691.0,0.17,1.21,0.04,2.49,2214.0,35.38
Financially Stressed,42,Salaried,37609.0,34224.0,1128.0,10531.0,631632.0,13539.0,2468655.0,Emergency Fund,0.03,0.91,3385.0,1.4,0.31,0.03,5.47,2257.0,22.8
Mid Career,32,Salaried,151628.0,77330.0,33358.0,1091722.0,2790444.0,1528410.0,28785060.0,Buy a House,0.22,0.51,74298.0,1.53,14.12,0.84,15.82,40940.0,61.28
Young Salaried,25,Salaried,59726.0,38822.0,11348.0,258614.0,189627.0,100340.0,9016237.0,Buy a Car,0.19,0.65,20904.0,0.26,6.66,0.14,12.58,9556.0,56.9
Freelancer,42,Freelancer,183405.0,122881.0,36681.0,784973.0,271699.0,418163.0,32902857.0,Wealth Creation,0.2,0.67,60524.0,0.12,6.39,0.19,14.95,23843.0,59.66
Financially Stressed,30,Salaried,38612.0,38226.0,1544.0,15445.0,680388.0,18534.0,3169273.0,Emergency Fund,0.04,0.99,386.0,1.47,0.4,0.04,6.84,-1158.0,20.6
Student,19,Student,4010.0,3649.0,602.0,1804.0,77362.0,962.0,166014.0,Emergency Fund,0.15,0.91,361.0,1.61,0.49,0.02,3.45,-241.0,24.13
Retired,74,Retired,107197.0,60030.0,10720.0,1165231.0,157468.0,1942410.0,10445276.0,Retirement,0.1,0.56,47167.0,0.12,19.41,1.51,8.12,36447.0,64.06
Young Salaried,30,Salaried,39116.0,18776.0,6650.0,217876.0,227733.0,75103.0,6303935.0,Buy a Car,0.17,0.48,20340.0,0.49,11.6,0.16,13.43,13690.0,63.67
Disciplined Saver,34,Salaried,43656.0,13533.0,16153.0,435687.0,63334.0,654840.0,6401716.0,Wealth Creation,0.37,0.31,30123.0,0.12,32.19,1.25,12.22,13970.0,81.34
Financially Stressed,53,Business,29241.0,31288.0,877.0,3509.0,583710.0,7018.0,1803585.0,Emergency Fund,0.03,1.07,-2047.0,1.66,0.11,0.02,5.14,-2924.0,16.71
Young Salaried,23,Salaried,65294.0,45053.0,21547.0,208288.0,162807.0,274235.0,7772598.0,Wealth Creation,0.33,0.69,20241.0,0.21,4.62,0.35,9.92,-1306.0,59.24
Freelancer,40,Freelancer,171246.0,102748.0,29112.0,1003502.0,286657.0,205495.0,19891935.0,Emergency Fund,0.17,0.6,68498.0,0.14,9.77,0.1,9.68,39386.0,60.37
Business Owner,32,Business,354799.0,209331.0,70960.0,2753240.0,6545282.0,2767432.0,59478504.0,Business,0.2,0.59,145468.0,1.54,13.15,0.65,13.97,74508.0,58.49
Mid Career,39,Salaried,101728.0,50864.0,27467.0,434379.0,1724728.0,732442.0,16919401.0,Children Education,0.27,0.5,50864.0,1.41,8.54,0.6,13.86,23397.0,57.7
Retired,80,Retired,67970.0,36704.0,14953.0,754467.0,73554.0,848266.0,9004666.0,Retirement,0.22,0.54,31266.0,0.09,20.56,1.04,11.04,16313.0,71.09
Student,20,Student,12907.0,10455.0,1033.0,11745.0,92621.0,1549.0,272596.0,Higher Education,0.08,0.81,2452.0,0.6,1.12,0.01,1.76,1419.0,30.96
Young Salaried,30,Salaried,56335.0,23661.0,14084.0,203933.0,30619.0,169005.0,7922954.0,Buy a Car,0.25,0.42,32674.0,0.05,8.62,0.25,11.72,18590.0,65.98
High Income High Debt,45,Business,594478.0,511251.0,95116.0,2241182.0,3812629.0,6634374.0,91383158.0,Debt Reduction,0.16,0.86,83227.0,0.53,4.38,0.93,12.81,-11889.0,49.21
Disciplined Saver,33,Freelancer,43136.0,21999.0,16823.0,390381.0,895.0,243287.0,6661924.0,Wealth Creation,0.39,0.51,21137.0,0.0,17.75,0.47,12.87,4314.0,80.39
